0字节,0位元組
0杆,0桿
1字节,1位元組
1杆,1桿
2字节,2位元組
2杆,2桿
3字节,3位元組
3杆,3桿
4字节,4位元組
4杆,4桿
5字节,5位元組
5杆,5桿
6字节,6位元組
6杆,6桿
7字节,7位元組
7杆,7桿
8字节,8位元組
8杆,8桿
9字节,9位元組
9杆,9桿
甲型肝炎,A型肝炎
甲肝,A肝
乙型肝炎,B型肝炎
乙肝,B肝
丙型肝炎,C型肝炎
丙肝,C肝
IP地址,IP位址
乔戈里峰,K2
·威尔士,·威爾士
·威爾士,·威爾士
一杆,一桿
七杆,七桿
三杆,三桿
三极管,三極體
三極管,三極體
达累斯萨拉姆,三蘭港
上落客,上下客
落車,下車
不來梅,不萊梅
不来梅,不萊梅
幺,么
以太网,乙太網
九杆,九桿
了結他,了結他
二手烟,二手菸
二手煙,二手菸
二杆,二桿
二极管,二極體
二極管,二極體
交互设计,互動設計
五杆,五桿
阿塞拜疆,亞塞拜然
阿斯旺,亞斯文
人工智能,人工智慧
人机交互,人機互動
行人路,人行道
石勒苏益格,什勒斯維希
石勒蘇益格,什勒斯維希
伊利诺伊州,伊利諾州
伊斯坦布尔,伊斯坦堡
伊斯坦布爾,伊斯坦堡
伊斯兰堡,伊斯蘭瑪巴德
伊斯蘭堡,伊斯蘭瑪巴德
埃博拉,伊波拉
伊丽莎白,伊莉莎白
俯卧撑,伏地挺身
掌上壓,伏地挺身
伯明翰,伯明罕
服务器,伺服器
佛罗伦萨,佛羅倫斯
操作系统,作業系統
系数,係數
避孕套,保險套
傅里叶,傅立葉
光盘,光碟
光驱,光碟機
开普勒,克卜勒
開普勒,克卜勒
克罗地亚,克羅埃西亞
克羅地亞,克羅埃西亞
克里斯托弗,克里斯多福
万维网,全球資訊網
八杆,八桿
公共交通,公共運輸
六杆,六桿
凯瑟琳,凱薩琳
嘉芙蓮,凱薩琳
划着独木舟,划著獨木舟
划着竹筏,划著竹筏
划着船,划著船
打印,列印
列支敦士登,列支敦斯登
前波美拉尼亚,前波莫瑞
前波美拉尼亞,前波莫瑞
加蓬,加彭
加沙地带,加薩走廊
加沙地帶,加薩走廊
包豪斯,包浩斯
北朝鲜,北韓
局域网,區域網
局域网络,區域網路
十杆,十桿
特立尼达和托巴哥,千里達托貝哥
特立尼達和多巴哥,千里達托貝哥
南朝鲜,南韓
卡斯特罗,卡斯楚
卡塔尔,卡達
卡塔爾,卡達
铆足,卯足
打印机,印表機
打印機,印表機
厄利垂亚,厄利垂亞
厄立特里亚,厄利垂亞
厄立特里亞,厄利垂亞
厄瓜多,厄瓜多
厄瓜多尔,厄瓜多
厄瓜多爾,厄瓜多
源代码,原始碼
圆珠笔,原子筆
反烟,反菸
反煙,反菸
可卡因,古柯鹼
便携式,可攜式
叱咤,叱吒
叱咤9,叱咤9
叱咤M,叱咤M
叱咤叱,叱咤叱
叱咤咤,叱咤咤
叱咤樂壇,叱咤樂壇
斯坦福大学,史丹福大學
斯皮尔伯格,史匹柏
斯特劳斯,史特勞斯
斯威士兰,史瓦濟蘭
斯威士蘭,史瓦濟蘭
斯蒂芬,史蒂芬
斯大林,史達林
結他,吉他
乞力馬札羅,吉力馬札羅
乞力马扎罗,吉力馬札羅
吉布堤,吉布地
吉布提,吉布地
基里巴斯,吉里巴斯
图瓦卢,吐瓦魯
圖瓦盧,吐瓦魯
吸烟,吸菸
吸煙,吸菸
吕宋烟,呂宋菸
呂宋煙,呂宋菸
格丁根,哥廷根
哥特式,哥德式
哥斯达黎加,哥斯大黎加
哥斯達黎加,哥斯大黎加
唐纳德·特朗普,唐納·川普
當勞·特朗普,唐納·川普
當奴·特朗普,唐納·川普
卡拉奇,喀拉蚩
乔治·奥威尔,喬治·歐威爾
佐治亚,喬治亞
佐治亞,喬治亞
格魯吉亞,喬治亞
格鲁吉亚,喬治亞
单反相机,單眼相機
單鏡反光機,單眼相機
嘯咤,嘯吒
四杆,四桿
图卢兹,土魯斯
圖盧茲,土魯斯
戛纳,坎城
堪培拉,坎培拉
坦桑尼亚,坦尚尼亞
坦桑尼亞,坦尚尼亞
端口,埠
首席执行官,執行長
报道,報導
塑料袋,塑膠袋
塞舌尔,塞席爾
塞舌爾,塞席爾
萨拉热窝,塞拉耶佛
薩拉熱窩,塞拉耶佛
塞尔维亚和黑山,塞爾維亞與蒙特內哥羅
塞爾維亞和黑山,塞爾維亞與蒙特內哥羅
塞爾維亞與蒙特內哥羅,塞爾維亞與蒙特內哥羅
塞维利亚,塞維亞
西維爾,塞維亞
塞黑,塞蒙
共和联邦,大英國協
英联邦,大英國協
英聯邦,大英國協
太空飛行員,太空人
宇航员,太空人
穿梭機,太空梭
航天飞机,太空梭
宇航服,太空衣
航天器,太空飛行器
尼日利亚,奈及利亞
尼日利亞,奈及利亞
內羅畢,奈洛比
内罗毕,奈洛比
忌廉,奶油
荷里活,好萊塢
威廉姆斯,威廉士
威斯特法伦,威斯伐倫
威斯特法倫,威斯伐倫
威士顿康星,威斯康辛
威尔士,威爾斯
威爾士,威爾斯
存盘,存檔
孟德爾遜,孟德爾頌
门德尔松,孟德爾頌
安哈尔特,安哈特
安哈爾特,安哈特
安提瓜和巴布达,安地卡及巴布達
安提瓜和巴布達,安地卡及巴布達
洪都拉斯,宏都拉斯
密歇根,密西根
老挝人民民主共和国,寮人民民主共和國
老撾人民民主共和國,寮人民民主共和國
老挝,寮國
老撾,寮國
老挝语,寮語
老撾語,寮語
波里活,寶萊塢
对着干,對著幹
高峰时段,尖峰時段
高峰时间,尖峰時間
贊比亞,尚比亞
赞比亚,尚比亞
尼克松,尼克森
尼日尔,尼日
尼日爾,尼日
雅马哈,山葉
特朗普,川普
机床,工具機
機床,工具機
珍寶客機,巨無霸客機
发达国家,已開發國家
巴塞罗那,巴塞隆納
巴塞隆拿,巴塞隆納
巴士拉,巴斯拉
巴巴多斯,巴貝多
佈,布
布基納法索,布吉納法索
布基纳法索,布吉納法索
布什,布希
布殊,布希
勃兰登堡,布蘭登堡
勃蘭登堡,布蘭登堡
布里斯托尔,布里斯托
布隆方丹,布隆泉
希拉莉,希拉蕊
希拉里,希拉蕊
希特拉,希特勒
巴尔米拉环礁,帕邁拉環礁
帕劳,帛琉
希拉克,席哈克
账,帳
干着急,干著急
干着,幹著
几内亚比绍,幾內亞比索
幾內亞比紹,幾內亞比索
比利牛斯,庇里牛斯
库尔德人,庫德人
库尔德族,庫德族
康涅狄格,康乃狄克
约翰斯顿岛,強斯頓環礁
汇编,彙編
形而上学,形上學
形而上學,形上學
得克萨斯,德克薩斯
得克薩斯,德克薩斯
德累斯頓,德勒斯登
德累斯顿,德勒斯登
德里达,德希達
特拉华,德拉瓦
特拉華,德拉瓦
快闪存储器,快閃記憶體
闪存,快閃記憶體
想象,想像
愛德文,愛德溫
艾滋,愛滋
艾奧瓦,愛荷華
爱德华州,愛達荷州
应用程序,應用程式
戈尔巴乔夫,戈巴契夫
戈爾巴喬夫,戈巴契夫
戒烟,戒菸
戒煙,戒菸
戴克里先,戴克里先
打印度,打印度
抽烟,抽菸
抽煙,抽菸
拒烟,拒菸
拒煙,拒菸
卷烟,捲菸
捲煙,捲菸
積架,捷豹
控件,控制項
推杆,推桿
第比利斯,提比里西
挥杆,揮桿
揮杆,揮桿
搜索引擎,搜尋引擎
摩根士丹利,摩根史坦利
台球,撞球
攻打,攻打
数字化,數位化
數碼化,數位化
数字技术,數位技術
數碼技術,數位技術
数字照相机,數位照相機
数码照相机,數位照相機
數碼照相機,數位照相機
数码相机,數位相機
數碼相機,數位相機
数字信号,數位訊號
數碼訊號,數位訊號
数字电视,數位電視
數碼電視,數位電視
調制解調器,數據機
调制解调器,數據機
斯堪的納維亞,斯堪地那維亞
斯堪的纳维亚,斯堪地那維亞
斯洛文尼亚,斯洛維尼亞
斯洛文尼亞,斯洛維尼亞
新罕布什尔,新罕布夏
施罗德,施洛德
旱烟,旱菸
旱煙,旱菸
普利策,普利茲
芯片,晶片
智能卡,智慧卡
智能手机,智慧型手機
智能手機,智慧型手機
智能电话,智慧型電話
智能電話,智慧型電話
知識產權,智慧財產權
知识产权,智慧財產權
萌島,曼島
马恩岛,曼島
木杆,木桿
列奥纳多,李奧納多
杜塞尔多夫,杜塞道夫
杜塞爾多夫,杜塞道夫
迪拜,杜拜
东盟,東協
亚细安,東協
東盟,東協
东南亚国家联盟,東南亞國家協會
東南亞國家聯盟,東南亞國家協會
柏林墙,柏林圍牆
柏林牆,柏林圍牆
乍得,查德
查韦斯,查維茲
克林頓,柯林頓
克林顿,柯林頓
戴卓爾,柴契爾
撒切尔,柴契爾
格林納達,格瑞那達
格林纳达,格瑞那達
桃金娘,桃金孃
台式电脑,桌上型電腦
乒乓,桌球
乒乓球,桌球
杆弟,桿弟
杆身,桿身
杆头,桿頭
杆頭,桿頭
梅尔·吉布森,梅爾·吉勃遜
梵高,梵谷
桑巴舞,森巴舞
榴莲,榴槤
榴蓮,榴槤
枪支,槍枝
标准杆,標準桿
標準杆,標準桿
毛里求斯,模里西斯
毛里裘斯,模里西斯
机器人,機器人
機械人,機器人
概率,機率
電單車,機車
枱,檯
字段,欄位
奥巴马,歐巴馬
奧巴馬,歐巴馬
正在叱咤,正在叱咤
圣佩德罗苏拉,汕埠
文莱,汶萊
沙律,沙拉
沙地阿拉伯,沙烏地阿拉伯
沙特阿拉伯,沙烏地阿拉伯
法属圭亚那,法屬蓋亞那
波斯尼亚,波士尼亞
波斯尼亞,波士尼亞
波斯尼亚和黑塞哥维那,波士尼亞與赫塞哥維納
波斯尼亞和黑塞哥維那,波士尼亞與赫塞哥維納
博茨瓦納,波札那
博茨瓦纳,波札那
波黑,波赫
洋烟,洋菸
洋煙,洋菸
帕特里克,派屈克
海洛英,海洛因
侯賽因,海珊
侯赛因,海珊
鼠标,滑鼠
汉诺威,漢諾瓦
漢诺威,漢諾瓦
乌冬面,烏龍麵
烤烟,烤菸
烤煙,烤菸
无烟日,無菸日
無煙日,無菸日
无烟环境,無菸環境
無煙環境,無菸環境
烟熏,煙燻
首席运营官,營運長
熏烤,燻烤
熏肉,燻肉
熏黑,燻黑
版权信息,版權資訊
疯牛症,狂牛症
鐵托,狄托
铁托,狄托
塞拉利昂,獅子山
独联体,獨立國協
獨聯體,獨立國協
独立国家联合体,獨立國家國協
獨立國家聯合體,獨立國家國協
波利尼西亚,玻里尼西亞
波利尼西亞,玻里尼西亞
本傑明,班傑明
本杰明,班傑明
球杆,球桿
理查德,理察
卢塞恩,琉森
危地馬拉,瓜地馬拉
危地马拉,瓜地馬拉
巴伦西亚,瓦倫西亞
華倫西亞,瓦倫西亞
冈比亚,甘比亞
岡比亞,甘比亞
肯尼迪,甘迺迪
留尼汪,留尼旺
毕加索,畢卡索
迭代,疊代
徵狀,症狀
勃朗宁,白朗寧
百慕大,百慕達
卢旺达,盧安達
盧旺達,盧安達
睾,睪
知识产权局,知識產權局
知識產權局,知識產權署
知識產權署,知識產權署
知识产权署,知識產權署
硅,矽
硅藻,硅藻
硬盘,硬碟
硬件,硬體
盘片,碟片
磁盘,磁碟
磁道,磁軌
禁烟,禁菸
禁煙,禁菸
福尔马林,福馬林
福爾馬林,福馬林
私烟,私菸
私煙,私菸
程序员,程式設計師
编程语言,程式語言
空气质量,空氣品質
空氣質素,空氣品質
突尼斯,突尼西亞
绑紧跳,笨豬跳
蹦极跳,笨豬跳
短信,簡訊
纽黑文,紐哈芬
新奥尔良,紐奧良
新奧爾良,紐奧良
新几内亚,紐幾內亞
新幾內亞,紐幾內亞
新西兰,紐西蘭
新西蘭,紐西蘭
紙煙,紙菸
纸烟,紙菸
索尔仁尼琴,索忍尼辛
索贊尼辛,索忍尼辛
所罗门群岛,索羅門群島
所羅門群島,索羅門群島
索馬里,索馬利亞
索马里,索馬利亞
索馬里蘭,索馬利蘭
索马里兰,索馬利蘭
維爾京群島,維京群島
维尔京群岛,維京群島
弗吉尼亚,維吉尼亞
佛得角,維德角
维特根斯坦,維根斯坦
網絡遊戲,網路遊戲
网络游戏,網路遊戲
互联网,網際網路
互联网络,網際網路
互聯網,網際網路
互聯網絡,網際網路
因特网,網際網路
系着,繫著
卢瓦尔,羅亞爾
盧瓦爾,羅亞爾
卢浮宫,羅浮宮
樂行童軍,羅浮童軍
意大利,義大利
昂山素姬,翁山蘇姬
昂山素季,翁山蘇姬
圣基茨和尼维斯,聖克里斯多福及尼維斯
聖吉斯納域斯,聖克里斯多福及尼維斯
圣文森特和格林纳丁斯,聖文森及格瑞那丁
聖文森特和格林納丁斯,聖文森及格瑞那丁
圣赫勒拿,聖赫倫那
圣卢西亚,聖露西亞
聖盧西亞,聖露西亞
圣马力诺,聖馬利諾
聖馬力諾,聖馬利諾
肯尼亚,肯亞
氨基酸,胺基酸
自由泳,自由式
三藩市,舊金山
艾森豪威尔,艾森豪
埃菲尔,艾菲爾
阿里埃勒·沙龍,艾里爾·夏隆
阿里埃勒·沙龙,艾里爾·夏隆
帕塔亚,芭達亞
黎克特制,芮氏
里氏0,芮氏0
里氏1,芮氏1
里氏2,芮氏2
里氏3,芮氏3
里氏4,芮氏4
里氏5,芮氏5
里氏6,芮氏6
里氏7,芮氏7
里氏8,芮氏8
里氏9,芮氏9
里氏地震规模,芮氏地震規模
里氏规模,芮氏規模
里氏震级,芮氏規模
当且仅当,若且唯若
味美思,苦艾酒
毛里塔尼亚,茅利塔尼亞
毛里塔尼亞,茅利塔尼亞
霍尔木兹,荷姆茲
霍爾木茲,荷姆茲
荷里活廣場,荷里活廣場
荷里活道,荷里活道
莫桑比克,莫三比克
瓦文萨,華勒沙
華里沙,華勒沙
瓦格纳,華格納
烟具,菸具
煙具,菸具
烟品,菸品
煙品,菸品
烟嘴,菸嘴
煙嘴,菸嘴
烟卷,菸捲
煙捲,菸捲
烟斗,菸斗
煙斗,菸斗
烟民,菸民
煙民,菸民
烟灰,菸灰
煙灰,菸灰
烟瘾,菸癮
煙癮,菸癮
烟丝,菸絲
煙絲,菸絲
烟草,菸草
煙草,菸草
烟叶,菸葉
煙葉,菸葉
烟蒂,菸蒂
煙蒂,菸蒂
烟袋,菸袋
煙袋,菸袋
烟农,菸農
煙農,菸農
烟酒,菸酒
煙酒,菸酒
烟头,菸頭
煙頭,菸頭
烟鬼,菸鬼
煙鬼,菸鬼
烟碱,菸鹼
煙鹼,菸鹼
万历朝鲜战争,萬曆朝鮮戰爭
瓦努阿图,萬那杜
瓦努阿圖,萬那杜
叶利钦,葉爾欽
葉利欽,葉爾欽
埃里温,葉里溫
埃里溫,葉里溫
也門,葉門
也门,葉門
着,著
着眼于,著眼於
科摩罗,葛摩
科摩羅,葛摩
格林美獎,葛萊美獎
格莱美奖,葛萊美獎
黑山共和国,蒙特內哥羅共和國
黑山共和國,蒙特內哥羅共和國
蒙特利尔,蒙特婁
蒙特利爾,蒙特婁
普密蓬,蒲美蓬
布隆迪,蒲隆地
圭亚那,蓋亞那
